,anger,disgust,fear,joy,neutral,sadness,surprise
anger,1.0000000000000002,0.9577603822808403,0.9577603822808403,0.9577603822808403,0.9577603822808403,0.9577603822808403,0.9577603822808403
disgust,0.9577603822808403,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979
fear,0.9577603822808403,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979
joy,0.9577603822808403,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979
neutral,0.9577603822808403,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979
sadness,0.9577603822808403,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979
surprise,0.9577603822808403,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979
